Test_word,0.1,0.3,0.5,0.7,0.9,NOTES,
ambulance,,,,,,,
anchor,,,,,,,
apple,,,,,,,
baby,,,,,,,
ball,,,,,,,
balloon,,,,,,,
banana,,,,,,,
basket,,,,,,,
bat,,,,,,,
beard,,,,,,,
bed,,,,,,,
bell,,,,,,,
belt,,,,,,,
bench,,,,,,,
binocular,,,,,,Singular in HML,
bone,,,,,,,
book,,,,,,,
boot,,,,,,,
bottle,,,,,,,
bole,,,,,,bowl,
bread,,,,,,,
bride,,,,,,,
bridge,,,,,,,
broom,,,,,,,
bus,,,,,,,
butterfly,,,,,,,
cake,,,,,,,
calendar,,,,,,,
camel,,,,,,,
camera,,,,,,,
can,,,,,,,
candle,,,,,,,
cane,,,,,,,
cannon,,,,,,,
carat,,,,,,carrot,
cat,,,,,,,
celery,,,,,,,
chair,,,,,,,
cheerleaders,,,,xx,xx,NOT in HML,xx
chimney,,,,,,,
church,,,,,,,
clock,,,,,,,
closet,,,,,,,
clown,,,,,,,
comb,,,,,,,
corn,,,,,,,
cow,,,,,,,
cowboy,,,,,,,
cross,,,,,,,
crown,,,,,,,
crutch,,,,,,crutches,
desk,,,,,,,
dice,,,,,,,
dinosaur,,,,,,,
dog,,,,,,,
door,,,,,,,
dragon,,,,,,,
drum,,,,,,,
duck,,,,,,,
ear,,,,,,,
elephant,,,,,,,
Eskimo,,,,,,,
eye,,,,xx,xx,NOT in HML,xx
fan,,,,,,,
fireman,,,,,,,
fireplace,,,,xx,xx,NOT in HML,xx
fish,,,,,,,
flashlight,,,,xx,xx,NOT in HML,xx
flower,,,,,,,
foot,,,,,,,
football,,,,xx,xx,NOT in HML,xx
fork,,,,,,,
frog,,,,,,,
garage,,,,,,,
ghost,,,,,,,
glass,,,,,,,
glove,,,,,,,
goat,,,,,,,
grape,,,,,,grapes,
hair,,,,,,,
hammer,,,,,,,
hand,,,,,,,
harp,,,,,,,
hat,,,,,,,
hart,,,,,,heart,
helicopter,,,,,,,
hoarse,,,,,,horse,
hose,,,,,,,
house,,,,,,,
iron,,,,,,,
cay,,,,,,key,
king,,,,,,,
kitchen,,,,,,,
kite,,,,,,,
knife,,,,,,,
lamp,,,,,,,
leaf,,,,,,,
letter,,,,,,,
lion,,,,,,,
man,,,,,,,
map,,,,,,,
microscope,,,,xx,xx,NOT in HML,xx
monkey,,,,,,,
mountain,,,,,,,
mustache,,,,xx,xx,NOT in HML,xx
nail,,,,,,,
necklace,,,,,,,
nose,,,,,,,
nurse,,,,,,,
octopus,,,,,,,
owl,,,,,,,
pair,,,,,,pear,
pen,,,,,,,
pencil,,,,,,,
piano,,,,,,,
pi,,,,,,pie,
pig,,,,,,,
pillow,,,,,,,
pineapple,,,,,,,
pipe,,,,,,,
pirate,,,,,,,
plant,,,,,,,
pumpkin,,,,,,,
pyramid,,,,,,,
quean,,,,,,queen,
rake,,,,,,,
ring,,,,,,,
rope,,,,,,,
ruler,,,,,,,
saddle,,,,,,,
sailor,,,,,,,
sandwich,,,,,,,
saw,,,,,,,
scale,,,,,,,
scarf,,,,,,,
scissors,,,,,,,
seal,,,,,,,
shoe,,,,,,,
ski,,,,,,skis,
scull,,,,,,skull,
slipper,,,,,,slippers,
snail,,,,,,,
snake,,,,,,,
sock,,,,,,,
spider,,,,,,,
spoon,,,,,,,
squirrel,,,,,,,
star,,,,,,,
stethoscope,,,,,,,
strawberries,,,,xx,xx,NOT in HML,xx
suit,,,,,,,
son,,,,,,sun,
table,,,,,,,
tent,,,,,,,
thermometer,,,,,,,
toilet,,,,,,,
top,,,,,,,
towel,,,,,,,
tractor,,,,,,,
train,,,,,,,
tree,,,,,,,
turkey,,,,,,,
typewriter,,,,xx,xx,NOT in HML,xx
van,,,,,,,
vase,,,,,,,
vest,,,,,,,
volcano,,,,,,,
wagon,,,,,,,
waterfall,,,,xx,xx,NOT in HML,xx
well,,,,,,,
whistle,,,,,,,
wig,,,,,,,
window,,,,,,,
zebra,,,,,,,
zipper,,,,,,,
